Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-1151.8944	7.6004965	-1144.2939	2409.211	1.2019385	-1130.772	8992.3229
1000	169.85831	-1148.5811	4.3033582	-1144.2777	2409.2127	1.2019377	-1142.0003	1514.5048
2000	184.46851	-1148.9491	4.6735074	-1144.2756	2409.218	1.201935	-1139.1315	3420.9818
3000	213.24803	-1149.679	5.4026365	-1144.2764	2409.2269	1.2019306	-1133.1352	7409.0977
4000	247.30213	-1150.5452	6.2653967	-1144.2798	2409.2392	1.2019245	-1130.3682	9251.4018
5000	247.63759	-1150.5494	6.2738955	-1144.2755	2409.255	1.2019166	-1143.4593	542.76027
6000	225.69171	-1149.9913	5.7178969	-1144.2734	2409.2744	1.2019069	-1146.08	-1201.3925
7000	224.448	-1149.961	5.6863874	-1144.2746	2409.2974	1.2018954	-1127.5281	11136.37
8000	241.97968	-1150.4066	6.1305523	-1144.276	2409.3234	1.2018824	-1135.2606	5995.2049
9000	231.52263	-1150.1412	5.8656231	-1144.2756	2409.3531	1.2018676	-1138.4939	3844.6823
10000	238.78645	-1150.3219	6.049652	-1144.2723	2409.3864	1.201851	-1140.5627	2466.748
11000	230.8479	-1150.122	5.8485288	-1144.2734	2409.4227	1.2018329	-1135.1872	6042.0131
12000	249.90624	-1150.6031	6.3313717	-1144.2717	2409.4619	1.2018133	-1131.9667	8182.2466
13000	248.87811	-1150.5782	6.3053241	-1144.2728	2409.5044	1.2017922	-1131.7231	8344.8099
14000	230.37386	-1150.1097	5.836519	-1144.2732	2409.55	1.2017694	-1137.4514	4535.9982
15000	231.29972	-1150.1298	5.8599758	-1144.2699	2409.599	1.201745	-1129.0629	10111.335
16000	221.22331	-1149.8731	5.60469	-1144.2684	2409.6513	1.2017189	-1129.4436	9857.0292
17000	239.37244	-1150.3343	6.0644981	-1144.2698	2409.7066	1.2016913	-1136.4273	5214.3584
18000	232.39129	-1150.1552	5.8876306	-1144.2676	2409.7649	1.2016623	-1128.5538	10447.612
19000	219.84112	-1149.835	5.5696721	-1144.2653	2409.8261	1.2016317	-1141.1582	2065.7487
20000	249.07693	-1150.5757	6.3103611	-1144.2653	2409.8903	1.2015997	-1141.2327	2016.1965
21000	236.3466	-1150.2532	5.9878385	-1144.2654	2409.9578	1.2015661	-1136.1988	5362.7823
22000	234.48031	-1150.2019	5.940556	-1144.2614	2410.0283	1.2015309	-1134.3284	6603.3757
23000	220.64955	-1149.8497	5.5901537	-1144.2596	2410.1018	1.2014942	-1134.6197	6408.3654
24000	232.72116	-1150.1555	5.895988	-1144.2595	2410.1784	1.2014561	-1127.0174	11461.775
25000	243.44305	-1150.4257	6.1676269	-1144.2581	2410.2579	1.2014164	-1137.8242	4276.8034
26000	230.80144	-1150.1034	5.8473517	-1144.2561	2410.3406	1.2013752	-1134.7227	6336.9525
27000	241.10017	-1150.3638	6.10827	-1144.2556	2410.4263	1.2013325	-1134.7675	6306.5735
28000	223.40748	-1149.9129	5.6600259	-1144.2529	2410.515	1.2012883	-1135.0231	6134.667
29000	241.78178	-1150.3792	6.1255387	-1144.2537	2410.6067	1.2012426	-1139.1577	3386.9505
30000	233.61299	-1150.1721	5.9185825	-1144.2535	2410.7014	1.2011954	-1137.4077	4549.7707
31000	231.16349	-1150.1054	5.8565243	-1144.2489	2410.7992	1.2011467	-1136.6384	5057.7948
32000	247.90733	-1150.5307	6.2807294	-1144.25	2410.9002	1.2010964	-1128.5467	10435.647
33000	230.80176	-1150.0917	5.84736	-1144.2443	2411.0045	1.2010444	-1140.7919	2294.2618
34000	232.5386	-1150.1345	5.8913626	-1144.2431	2411.1119	1.2009909	-1129.5797	9743.746
35000	242.93597	-1150.3955	6.15478	-1144.2407	2411.2227	1.2009357	-1145.4645	-813.13833
36000	225.80281	-1149.9599	5.7207115	-1144.2392	2411.3372	1.2008787	-1122.3428	14548.76
37000	247.3026	-1150.5018	6.2654086	-1144.2364	2411.455	1.20082	-1144.0605	116.82212
38000	249.73902	-1150.5609	6.3271352	-1144.2338	2411.5762	1.2007597	-1130.691	8997.3945
39000	261.24548	-1150.8528	6.6186513	-1144.2341	2411.7009	1.2006976	-1131.0616	8750.9769
40000	247.72495	-1150.5081	6.2761087	-1144.232	2411.8292	1.2006337	-1138.2923	3945.7569
41000	252.96002	-1150.6376	6.4087392	-1144.2288	2411.9609	1.2005682	-1135.9474	5501.0403
42000	256.86888	-1150.7322	6.5077701	-1144.2245	2412.0955	1.2005012	-1138.65	3702.686
43000	255.65994	-1150.7003	6.4771415	-1144.2231	2412.2331	1.2004327	-1134.8323	6237.249
44000	264.54582	-1150.9261	6.7022652	-1144.2238	2412.3742	1.2003625	-1132.573	7737.9214
45000	246.94598	-1150.4754	6.2563736	-1144.219	2412.5189	1.2002905	-1135.3124	5914.9691
46000	237.21801	-1150.2215	6.0099156	-1144.2116	2412.6672	1.2002167	-1135.5287	5766.017
47000	230.87516	-1150.0586	5.8492195	-1144.2094	2412.8188	1.2001413	-1139.9153	2851.4209
48000	258.62251	-1150.7652	6.5521983	-1144.213	2412.9736	1.2000643	-1141.0886	2074.5076
49000	242.5255	-1150.3514	6.1443807	-1144.207	2413.1316	1.1999857	-1135.8447	5552.1189
50000	251.8599	-1150.5833	6.3808677	-1144.2025	2413.2929	1.1999055	-1136.2494	5279.9852
51000	243.82914	-1150.3772	6.1774086	-1144.1998	2413.4571	1.1998239	-1134.7871	6248.6646
52000	257.38268	-1150.7214	6.5207873	-1144.2006	2413.6249	1.1997405	-1137.0131	4771.0987
53000	278.28288	-1151.2459	7.0502935	-1144.1956	2413.796	1.1996554	-1135.8031	5570.5818
54000	275.11042	-1151.1639	6.9699193	-1144.194	2413.9706	1.1995687	-1127.2372	11254.392
55000	244.58349	-1150.3884	6.1965198	-1144.1919	2414.1483	1.1994804	-1129.036	10058.399
56000	235.81246	-1150.1605	5.9743058	-1144.1862	2414.3295	1.1993903	-1139.559	3070.6417
57000	251.3071	-1150.5516	6.3668624	-1144.1848	2414.514	1.1992987	-1140.7052	2308.8697
58000	256.01631	-1150.6635	6.4861703	-1144.1774	2414.7018	1.1992054	-1145.2862	-735.73086
59000	253.50494	-1150.5969	6.4225446	-1144.1743	2414.8926	1.1991107	-1128.3144	10522.407
60000	261.27293	-1150.7908	6.6193467	-1144.1714	2415.087	1.1990142	-1139.9139	2824.501
61000	241.27527	-1150.2804	6.1127061	-1144.1677	2415.2847	1.198916	-1130.5476	9034.8747
62000	247.61517	-1150.4386	6.2733275	-1144.1652	2415.4853	1.1988164	-1132.322	7855.5314
63000	241.41162	-1150.273	6.1161606	-1144.1569	2415.6893	1.1987152	-1136.4788	5092.3922
64000	243.95663	-1150.3386	6.1806384	-1144.158	2415.8966	1.1986124	-1141.0469	2063.2275
65000	254.40894	-1150.601	6.4454475	-1144.1555	2416.1073	1.1985078	-1127.5622	11003.427
66000	259.50006	-1150.7257	6.574431	-1144.1513	2416.3213	1.1984017	-1133.1363	7303.6338
67000	250.24948	-1150.4868	6.3400678	-1144.1468	2416.5384	1.198294	-1135.0316	6043.3859
68000	251.57386	-1150.5159	6.3736209	-1144.1422	2416.7586	1.1981848	-1136.6561	4962.8696
69000	255.32953	-1150.6115	6.4687706	-1144.1428	2416.982	1.1980741	-1132.5161	7707.1288
70000	241.54408	-1150.2557	6.1195165	-1144.1362	2417.2085	1.1979618	-1124.5336	12992.972
71000	234.16055	-1150.063	5.9324547	-1144.1305	2417.4388	1.1978477	-1139.913	2795.218
72000	232.7813	-1150.0274	5.8975115	-1144.1299	2417.673	1.1977317	-1130.6649	8923.1705
73000	243.69393	-1150.2953	6.1739829	-1144.1213	2417.9107	1.1976139	-1139.5304	3042.0589
74000	275.44528	-1151.1038	6.9784031	-1144.1254	2418.1521	1.1974943	-1130.2806	9173.0261
75000	245.48954	-1150.3385	6.2194747	-1144.119	2418.3973	1.1973729	-1141.0175	2054.7577
76000	267.56634	-1150.8961	6.7787902	-1144.1173	2418.6463	1.1972497	-1134.6775	6253.2034
77000	255.24361	-1150.5756	6.4665939	-1144.109	2418.8992	1.1971245	-1128.3662	10427.385
78000	245.32334	-1150.3232	6.215264	-1144.1079	2419.1557	1.1969976	-1137.8066	4173.277
79000	232.65734	-1149.9949	5.8943711	-1144.1006	2419.4158	1.1968689	-1127.9652	10685.066
80000	256.03879	-1150.5842	6.4867397	-1144.0974	2419.6801	1.1967381	-1140.3291	2495.1657
81000	246.19571	-1150.3326	6.2373654	-1144.0952	2419.948	1.1966057	-1130.7882	8810.1535
82000	251.80305	-1150.4707	6.3794273	-1144.0913	2420.2198	1.1964713	-1143.3328	502.12223
83000	258.63543	-1150.6399	6.5525255	-1144.0873	2420.495	1.1963352	-1135.2243	5866.6577
84000	268.89313	-1150.8975	6.8124044	-1144.0851	2420.7732	1.1961977	-1138.2927	3833.6571
85000	262.68383	-1150.7365	6.6550917	-1144.0814	2421.0549	1.1960586	-1138.0512	3990.6024
86000	257.20115	-1150.591	6.5161882	-1144.0748	2421.3397	1.1959179	-1135.8405	5448.5779
87000	240.21797	-1150.1549	6.0859195	-1144.069	2421.6277	1.1957757	-1133.7949	6797.4737
88000	268.74823	-1150.8743	6.8087332	-1144.0656	2421.9195	1.1956316	-1132.6612	7544.3633
89000	252.34265	-1150.4557	6.393098	-1144.0626	2422.2153	1.1954856	-1136.9034	4735.4284
90000	262.3821	-1150.702	6.6474476	-1144.0546	2422.515	1.1953377	-1135.2439	5827.1174
91000	256.22799	-1150.5447	6.4915332	-1144.0531	2422.8184	1.195188	-1133.8	6780.2876
92000	245.55749	-1150.2704	6.2211961	-1144.0493	2423.1259	1.1950364	-1132.1572	7863.0857
93000	233.76732	-1149.9621	5.9224923	-1144.0396	2423.4372	1.1948828	-1137.8272	4107.0717
94000	232.5172	-1149.9256	5.8908205	-1144.0347	2423.7523	1.1947275	-1134.0174	6621.7443
95000	251.87495	-1150.4105	6.3812489	-1144.0292	2424.0709	1.1945705	-1122.4799	14242.938
96000	261.06379	-1150.6445	6.6140482	-1144.0304	2424.3932	1.1944116	-1133.0674	7244.9576
97000	281.70932	-1151.1651	7.1371025	-1144.028	2424.7194	1.194251	-1139.2689	3144.6179
98000	267.49039	-1150.7983	6.7768659	-1144.0215	2425.0492	1.1940885	-1139.1261	3234.2628
99000	257.80193	-1150.5486	6.5314089	-1144.0172	2425.3827	1.1939243	-1140.1771	2536.7145
