Step	Temp	PotEng	KinEng	TotEng	Volume	Density	Enthalpy	Press
0	300	-1154.8026	7.6004965	-1147.2021	2409.211	1.2019385	-1132.6481	9678.698
1000	145.05428	-1150.8595	3.6749484	-1147.1845	2409.2129	1.2019376	-1137.7156	6297.0483
2000	155.09264	-1151.1171	3.9292703	-1147.1879	2409.218	1.201935	-1130.7083	10959.195
3000	154.80672	-1151.1084	3.9220264	-1147.1864	2409.2265	1.2019308	-1138.5218	5762.0888
4000	162.86914	-1151.3123	4.1262879	-1147.186	2409.2389	1.2019246	-1132.1003	10032.212
5000	161.20767	-1151.2696	4.0841945	-1147.1854	2409.2552	1.2019165	-1137.3889	6514.7445
6000	169.72779	-1151.486	4.3000516	-1147.186	2409.2752	1.2019065	-1133.9293	8815.7408
7000	167.52831	-1151.4285	4.2443278	-1147.1842	2409.2989	1.2018947	-1133.7852	8910.3041
8000	172.63803	-1151.5564	4.3737824	-1147.1827	2409.3263	1.201881	-1133.0554	9394.4846
9000	165.21877	-1151.3704	4.1858157	-1147.1846	2409.3574	1.2018655	-1133.757	8929.0915
10000	174.18938	-1151.5954	4.4130859	-1147.1823	2409.3922	1.2018481	-1143.2973	2583.4426
11000	163.0057	-1151.3103	4.1297476	-1147.1805	2409.4308	1.2018288	-1138.2625	5930.1258
12000	169.00925	-1151.4601	4.2818475	-1147.1783	2409.4732	1.2018077	-1135.9523	7464.6728
13000	177.53727	-1151.6787	4.4979047	-1147.1808	2409.5192	1.2017848	-1144.9841	1460.675
14000	181.6398	-1151.7804	4.6018421	-1147.1786	2409.5691	1.2017599	-1140.0928	4711.5032
15000	174.2165	-1151.5898	4.413773	-1147.176	2409.6229	1.2017331	-1142.0409	3414.3539
16000	185.09553	-1151.8648	4.6893931	-1147.1754	2409.6805	1.2017043	-1129.3003	11885.038
17000	168.51355	-1151.4408	4.2692889	-1147.1715	2409.7422	1.2016736	-1135.7564	7589.6402
18000	183.60744	-1151.8236	4.6516924	-1147.172	2409.8077	1.2016409	-1141.5485	3738.7999
19000	172.55177	-1151.5422	4.3715972	-1147.1706	2409.8768	1.2016064	-1140.6845	4312.2355
20000	180.01979	-1151.7288	4.5607993	-1147.168	2409.9495	1.2015702	-1143.4495	2472.1359
21000	173.10959	-1151.5531	4.3857293	-1147.1674	2410.0257	1.2015322	-1141.1311	4012.852
22000	181.73563	-1151.77	4.60427	-1147.1657	2410.1055	1.2014924	-1141.727	3615.5218
23000	167.12112	-1151.3957	4.2340116	-1147.1616	2410.1891	1.2014508	-1135.2356	7927.8558
24000	178.05668	-1151.6729	4.511064	-1147.1619	2410.276	1.2014074	-1135.812	7544.5442
25000	179.36938	-1151.706	4.5443211	-1147.1617	2410.3665	1.2013623	-1143.1256	2682.8152
26000	170.63508	-1151.4804	4.3230378	-1147.1573	2410.4606	1.2013154	-1142.1852	3304.8287
27000	173.35996	-1151.5463	4.3920726	-1147.1542	2410.5578	1.201267	-1135.7556	7576.1197
28000	198.14414	-1152.1759	5.0199795	-1147.1559	2410.6585	1.2012168	-1133.3665	9164.7289
29000	186.759	-1151.8828	4.7315372	-1147.1513	2410.7626	1.2011649	-1133.5065	9068.2137
30000	190.57082	-1151.9771	4.8281094	-1147.149	2410.8699	1.2011115	-1141.3095	3880.6791
31000	189.1332	-1151.9378	4.7916874	-1147.1461	2410.9809	1.2010562	-1138.8012	5545.4796
32000	168.57884	-1151.4117	4.2709429	-1147.1408	2411.0953	1.2009992	-1138.5582	5703.1794
33000	165.59064	-1151.334	4.195237	-1147.1388	2411.2132	1.2009405	-1142.1275	3329.8473
34000	182.70674	-1151.7664	4.6288731	-1147.1376	2411.3346	1.20088	-1131.3124	10514.812
35000	180.93136	-1151.719	4.5838939	-1147.1351	2411.4592	1.2008179	-1146.8061	218.59402
36000	180.30165	-1151.7007	4.5679403	-1147.1327	2411.5874	1.2007541	-1135.9205	7449.0163
37000	179.90583	-1151.689	4.5579121	-1147.1311	2411.7188	1.2006887	-1142.4601	3103.1029
38000	184.45047	-1151.7998	4.6730504	-1147.1268	2411.8536	1.2006216	-1141.4132	3795.4871
39000	185.1164	-1151.8146	4.6899219	-1147.1247	2411.9918	1.2005528	-1139.8599	4825.7152
40000	184.51137	-1151.7954	4.6745935	-1147.1208	2412.1334	1.2004823	-1137.4441	6427.4487
41000	173.71489	-1151.517	4.4010646	-1147.116	2412.2781	1.2004103	-1132.6888	9582.1618
42000	181.0738	-1151.7	4.5875025	-1147.1125	2412.4263	1.2003366	-1133.4477	9075.2693
43000	176.58929	-1151.5835	4.4738877	-1147.1096	2412.5779	1.2002611	-1142.9302	2775.5574
44000	190.9149	-1151.945	4.8368269	-1147.1082	2412.733	1.200184	-1135.7924	7514.3072
45000	192.30438	-1151.9751	4.8720292	-1147.1031	2412.8915	1.2001051	-1144.3885	1802.5007
46000	177.35243	-1151.5921	4.4932218	-1147.0989	2413.0531	1.2000248	-1138.7283	5557.7388
47000	183.81038	-1151.7521	4.6568339	-1147.0952	2413.218	1.1999428	-1141.4822	3726.5984
48000	180.44399	-1151.6629	4.5715464	-1147.0913	2413.3859	1.1998593	-1134.2943	8495.5491
49000	196.17703	-1152.0599	4.9701428	-1147.0897	2413.5572	1.1997741	-1133.5387	8995.4806
